Mean data for UKR  Province= 12: Kiev City,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2014 44  0.307,279.48, 59.54, 19.71, 39.62
2014 45  0.279,276.89, 57.00, 23.71, 40.36
2014 46  0.252,274.31, 56.49, 32.44, 44.46
2014 47  0.225,272.24, 54.07, 32.63, 43.35
2014 48  0.206,270.47, 53.32, 37.00, 45.16
2014 49  0.197,268.85, 53.44, 40.53, 46.99
2014 50  0.197,267.74, 55.51, 42.17, 48.84
2014 51  0.198,267.19, 58.22, 39.58, 48.90
2014 52  0.196,266.77, 60.57, 36.50, 48.53
2015 01  0.197,266.44, 64.73, 37.45, 51.09
2015 02  0.193,266.30, 61.08, 39.57, 50.33
2015 03  0.183,266.59, 55.66, 40.35, 48.00
2015 04  0.178,267.59, 56.35, 42.77, 49.56
2015 05  0.178,268.63, 56.61, 41.78, 49.31
2015 06  0.182,269.69, 55.66, 38.87, 47.46
2015 07  0.190,271.25, 55.38, 33.82, 44.74
2015 08  0.202,273.57, 57.14, 27.59, 42.36
2015 09  0.216,276.05, 59.44, 21.20, 40.32
2015 10  0.233,278.64, 62.54, 17.29, 39.91
2015 11  0.255,281.27, 67.74, 11.89, 39.82
2015 12  0.272,283.11, 71.65, 13.36, 42.50
2015 13  0.287,284.76, 74.72, 15.37, 45.05
2015 14  0.306,286.69, 77.71, 14.25, 45.98
2015 15  0.329,288.60, 80.46, 14.17, 47.31
2015 16  0.357,290.39, 80.63, 14.79, 47.71
2015 17  0.396,292.32, 83.37, 12.86, 48.11
2015 18  0.434,293.58, 83.47, 17.81, 50.64
2015 19  0.462,294.45, 79.69, 20.75, 50.22
2015 20  0.487,295.42, 75.16, 22.09, 48.63
2015 21  0.508,296.47, 73.26, 19.95, 46.61
2015 22  0.520,297.12, 69.06, 19.11, 44.09
2015 23  0.529,297.91, 67.91, 15.63, 41.77
2015 24  0.532,298.19, 66.94, 15.85, 41.40
2015 25  0.532,298.36, 64.52, 16.68, 40.60
2015 26  0.526,298.29, 60.15, 17.78, 38.96
2015 27  0.522,298.40, 56.77, 18.28, 37.53
2015 28  0.517,298.71, 56.72, 17.55, 37.14
2015 29  0.515,298.88, 58.92, 18.73, 38.82
2015 30  0.515,299.11, 62.84, 18.67, 40.76
2015 31  0.514,299.17, 64.80, 15.05, 39.93
2015 32  0.504,298.79, 62.40, 11.94, 37.17
2015 33  0.498,298.18, 61.38,  7.66, 34.52
2015 34  0.489,297.02, 62.02,  8.95, 35.48
2015 35  0.480,295.60, 64.37, 10.05, 37.21
2015 36  0.470,294.28, 66.40, 10.65, 38.53
2015 37  0.459,292.74, 71.23,  9.35, 40.29
2015 38  0.449,291.10, 74.30,  9.96, 42.13
2015 39  0.429,288.98, 74.41, 14.31, 44.36
2015 40  0.408,286.93, 75.14, 24.29, 49.71
2015 41  0.382,284.66, 72.67, 36.40, 54.53
2015 42  0.346,281.86, 60.81, 46.26, 53.54
2015 43  0.307,279.20, 49.30, 52.86, 51.08
2015 44  0.263,277.06, 37.59, 51.10, 44.34
2015 45  0.234,275.52, 34.85, 41.85, 38.35
2015 46  0.219,273.70, 40.07, 40.07, 40.07
2015 47  0.209,272.01, 46.13, 35.30, 40.72
2015 48  0.204,271.35, 51.71, 31.55, 41.63
2015 49  0.199,270.88, 53.05, 29.55, 41.30
2015 50  0.198,270.17, 55.27, 29.19, 42.23
2015 51  0.193,269.18, 56.33, 29.59, 42.96
2015 52  0.186,267.63, 57.10, 31.71, 44.41
2016 01  0.184,266.77, 59.96, 35.55, 47.76
2016 02  0.181,266.05, 57.45, 41.36, 49.40
2016 03  0.183,266.35, 57.25, 42.99, 50.12
2016 04  0.186,267.61, 61.59, 43.92, 52.75
2016 05  0.191,269.48, 64.15, 39.15, 51.95
2016 06  0.194,271.25, 62.12, 32.59, 47.63
2016 07  0.200,272.85, 59.89, 27.49, 43.81
2016 08  0.205,274.38, 58.35, 24.74, 41.55
2016 09  0.207,275.70, 56.22, 23.48, 39.85
2016 10  0.212,277.20, 54.73, 24.77, 39.75
2016 11  0.244,280.11, 64.06, 19.41, 41.73
2016 12  0.260,282.66, 67.34, 17.36, 42.35
2016 13  0.276,284.89, 70.89, 15.91, 43.40
2016 14  0.295,287.00, 74.29, 12.85, 43.57
2016 15  0.324,288.96, 79.36, 10.68, 45.02
2016 16  0.361,290.59, 82.83, 12.40, 47.62
2016 17  0.393,291.43, 82.48, 20.46, 51.47
2016 18  0.415,291.60, 76.24, 37.69, 56.97
2016 19  0.436,292.36, 69.46, 44.56, 57.01
2016 20  0.454,293.14, 61.90, 49.29, 55.59
2016 21  0.467,293.74, 56.58, 51.97, 54.27
2016 22  0.480,294.52, 52.05, 51.16, 51.60
2016 23  0.493,295.24, 52.40, 48.61, 50.51
2016 24  0.502,295.90, 53.73, 45.31, 49.52
2016 25  0.509,296.58, 54.50, 40.13, 47.32
2016 26  0.510,297.04, 52.79, 33.73, 43.26
2016 27  0.513,297.68, 52.80, 26.56, 39.68
2016 28  0.518,298.18, 56.98, 23.53, 40.26
2016 29  0.518,298.27, 60.14, 25.43, 42.78
2016 30  0.516,298.23, 63.90, 27.45, 45.67
2016 31  0.514,298.07, 65.47, 26.03, 45.75
2016 32  0.509,297.72, 65.02, 23.12, 44.07
2016 33  0.505,297.31, 64.69, 16.89, 40.79
2016 34  0.496,296.51, 65.32, 14.56, 39.94
2016 35  0.486,295.27, 67.34, 13.80, 40.57
2016 36  0.476,294.36, 69.43, 10.31, 39.87
2016 37  0.451,292.20, 68.47, 16.66, 42.56
2016 38  0.421,289.84, 63.29, 26.78, 45.04
2016 39  0.381,286.93, 53.20, 43.48, 48.34
2016 40  0.349,283.90, 45.50, 73.51, 59.51
2016 41  0.323,281.09, 40.25, 84.35, 62.30
2016 42  0.297,278.29, 33.11, 91.49, 62.30
2016 43  0.270,276.04, 28.81, 90.02, 59.42
2016 44  0.247,274.18, 30.00, 83.70, 56.85
2016 45  0.224,272.19, 30.00, 78.12, 54.06
2016 46  0.204,270.13, 31.40, 75.57, 53.49
2016 47  0.188,267.68, 35.24, 69.60, 52.42
2016 48  0.182,266.43, 42.27, 62.51, 52.39
2016 49  0.187,266.28, 49.39, 54.24, 51.81
2016 50  0.182,265.54, 50.02, 53.99, 52.00
2016 51  0.180,265.33, 51.35, 49.08, 50.22
2016 52  0.177,265.32, 52.74, 42.99, 47.87
2017 01  0.177,265.90, 54.25, 39.54, 46.90
2017 02  0.177,266.08, 52.21, 40.78, 46.50
2017 03  0.173,266.09, 49.06, 43.80, 46.43
2017 04  0.170,266.52, 50.18, 48.75, 49.47
2017 05  0.172,267.76, 51.61, 46.72, 49.17
2017 06  0.176,269.41, 51.12, 40.69, 45.96
2017 07  0.181,271.55, 50.64, 33.10, 41.92
2017 08  0.189,274.00, 51.53, 26.67, 39.10
2017 09  0.202,276.50, 54.38, 20.36, 37.37
2017 10  0.220,279.13, 57.51, 16.28, 36.90
2017 11  0.240,281.58, 62.20, 11.99, 37.09
2017 12  0.262,283.70, 68.15, 12.68, 40.41
2017 13  0.286,285.77, 75.60, 11.87, 43.74
2017 14  0.315,287.50, 82.61, 11.02, 46.81
2017 15  0.344,288.86, 87.33, 13.42, 50.38
2017 16  0.372,290.00, 87.18, 19.35, 53.26
2017 17  0.399,290.83, 84.47, 27.77, 56.12
2017 18  0.428,291.92, 81.08, 36.16, 58.62
2017 19  0.455,293.07, 76.60, 38.10, 57.35
2017 20  0.477,294.04, 70.15, 40.04, 55.10
2017 21  0.491,294.70, 65.33, 41.76, 53.55
2017 22  0.501,295.24, 59.85, 42.88, 51.37
2017 23  0.508,296.07, 57.81, 38.17, 47.99
2017 24  0.515,296.93, 59.32, 31.50, 45.41
2017 25  0.517,297.21, 58.22, 31.78, 45.00
2017 26  0.515,297.42, 55.73, 29.30, 42.51
2017 27  0.514,297.66, 53.63, 27.40, 40.52
2017 28  0.509,297.49, 53.83, 31.43, 42.63
2017 29  0.501,297.08, 53.17, 38.95, 46.06
2017 30  0.498,297.16, 56.27, 39.75, 48.01
2017 31  0.499,297.44, 58.87, 33.54, 46.21
2017 32  0.494,297.13, 57.98, 30.60, 44.29
2017 33  0.481,295.98, 53.82, 32.80, 43.31
2017 34  0.465,294.77, 51.54, 35.47, 43.51
2017 35  0.458,294.05, 54.51, 28.54, 41.53
2017 36  0.447,292.51, 56.17, 31.21, 43.69
2017 37  0.431,290.41, 56.96, 38.37, 47.67
2017 38  0.414,288.68, 57.01, 42.46, 49.74
2017 39  0.395,287.06, 56.85, 42.20, 49.53
2017 40  0.367,284.61, 52.01, 62.50, 57.26
2017 41  0.331,281.64, 42.62, 76.80, 59.71
2017 42  0.292,278.71, 31.15, 83.11, 57.13
2017 43  0.262,276.73, 28.30, 79.48, 53.89
2017 44  0.237,274.90, 24.80, 73.05, 48.92
2017 45  0.214,273.63, 25.33, 60.69, 43.01
2017 46  0.188,271.88, 24.08, 56.52, 40.30
2017 47  0.175,270.65, 29.44, 45.66, 37.55
2017 48  0.169,269.60, 37.93, 42.65, 40.29
2017 49  0.150,267.66, 38.11, 45.93, 42.02
2017 50  0.142,266.99, 37.80, 45.70, 41.75
2017 51  0.141,267.28, 39.49, 38.86, 39.18
2017 52  0.148,267.28, 43.39, 33.57, 38.48
2018 01  0.157,266.75, 50.00, 35.20, 42.60
2018 02  0.164,266.31, 50.91, 39.09, 45.00
2018 03  0.170,266.77, 52.58, 39.78, 46.18
2018 04  0.172,266.78, 56.50, 47.60, 52.05
2018 05  0.168,266.74, 55.56, 51.39, 53.49
2018 06  0.160,266.55, 49.71, 53.92, 51.84
2018 07  0.152,266.29, 44.16, 56.98, 50.47
2018 08  0.146,266.26, 38.65, 60.31, 49.48
2018 09  0.139,266.37, 33.91, 64.49, 49.20
2018 10  0.134,266.58, 28.26, 71.52, 49.89
2018 11  0.130,266.60, 23.62, 79.41, 51.51
</pre></tt>
